,CONVENTIONAL_POSCAR,Composition,E_f,Link,N_AT,PRIMITIVE_POSCAR,Prototype,References,Spacegroup,Unnamed: 0,Unnamed: 0.1,folder_name,id,prefix
0,Mo_676469_CONV.POSCAR,Mo,0.0,/materials/entry/676469,1,Mo_676469_PRIMITIVE.POSCAR,,"Jette, E.r., Foote, F.(1935). Precision determination of lattice constants. Journal of Chemical Physics, 3.",Im-3m,0.0,0.0,0,,Mo_676469
1,Nb_677905_CONV.POSCAR,Nb,0.0,/materials/entry/677905,1,Nb_677905_PRIMITIVE.POSCAR,,"Seybolt, A.u.(1954). Solid solubility of oxgen in columbium. Journal of Metals, 6.",Im-3m,1.0,1.0,1,,Nb_677905
2,TaMo2W_1018282_CONV.POSCAR,TaMo2W,-0.139,/materials/entry/1018282,4,TaMo2W_1018282_PRIMITIVE.POSCAR,,,Pnma,2.0,2.0,2,,TaMo2W_1018282
3,TaW3_D0_3_BiF3__308221_CONV.POSCAR,TaW3,-0.09,/materials/entry/308221,4,TaW3_D0_3_BiF3__308221_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,3.0,3.0,3,,TaW3_D0_3_BiF3__308221
4,TaMo_B2_CsCl__306083_CONV.POSCAR,TaMo,-0.19399999999999998,/materials/entry/306083,2,TaMo_B2_CsCl__306083_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,4.0,4.0,4,,TaMo_B2_CsCl__306083
5,TaMo3_D0_3_BiF3__311317_CONV.POSCAR,TaMo3,-0.11699999999999999,/materials/entry/311317,4,TaMo3_D0_3_BiF3__311317_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,5.0,5.0,5,,TaMo3_D0_3_BiF3__311317
6,NbMo2W_1018023_CONV.POSCAR,NbMo2W,-0.1,/materials/entry/1018023,4,NbMo2W_1018023_PRIMITIVE.POSCAR,,,Fm-3m,6.0,6.0,6,,NbMo2W_1018023
7,NbMo3_D0_3_BiF3__311999_CONV.POSCAR,NbMo3,-0.08,/materials/entry/311999,4,NbMo3_D0_3_BiF3__311999_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,7.0,7.0,7,,NbMo3_D0_3_BiF3__311999
8,MoW_B2_CsCl__307248_CONV.POSCAR,MoW,-0.01,/materials/entry/307248,2,MoW_B2_CsCl__307248_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,8.0,8.0,8,,MoW_B2_CsCl__307248
9,Ta_676287_CONV.POSCAR,Ta,0.0,/materials/entry/676287,4,Ta_676287_PRIMITIVE.POSCAR,,"Wallace, W.e., Craig, R.s., Waite, T.r.(1956). Structures and phase relations in the tantalum hydrogen system between -145

and 70 degree C. Journal of Chemical Physics, 24.",Im-3m,9.0,9.0,9,,Ta_676287
10,TaW_B2_CsCl__304592_CONV.POSCAR,TaW,-0.102,/materials/entry/304592,2,TaW_B2_CsCl__304592_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,10.0,10.0,10,,TaW_B2_CsCl__304592
11,W_676232_CONV.POSCAR,W,0.0,/materials/entry/676232,1,W_676232_PRIMITIVE.POSCAR,,"Deshpande, V.t., Pawar, R.(1962). X-ray determination of the thermal expansion of tungsten. Current Science, 31.",Im-3m,11.0,11.0,11,,W_676232
12,NbW3_D0_3_BiF3__310025_CONV.POSCAR,NbW3,-0.059000000000000004,/materials/entry/310025,4,NbW3_D0_3_BiF3__310025_PRIMITIVE.POSCAR,D0_3_BiF3,,Fm-3m,12.0,12.0,12,,NbW3_D0_3_BiF3__310025
13,NbMo_B2_CsCl__306419_CONV.POSCAR,NbMo,-0.11599999999999999,/materials/entry/306419,2,NbMo_B2_CsCl__306419_PRIMITIVE.POSCAR,B2_CsCl,,Pm-3m,13.0,13.0,13,,NbMo_B2_CsCl__306419
14,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894_CONV.POSCAR,TaNbMo2,-0.154,/materials/entry/449894,4,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,14.0,14.0,14,449894.0,TaNbMo2_L2_1_FullHeusler_Cu2MnAl__449894
15,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780_CONV.POSCAR,Ta2NbMo,-0.081,/materials/entry/531780,4,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,15.0,15.0,15,531780.0,Ta2NbMo_L2_1_FullHeusler_Cu2MnAl__531780
16,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098_CONV.POSCAR,TaNb2Mo,-0.04,/materials/entry/488098,4,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,16.0,16.0,16,488098.0,TaNb2Mo_L2_1_FullHeusler_Cu2MnAl__488098
17,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288_CONV.POSCAR,TaNbW2,-0.066,/materials/entry/540288,4,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,17.0,20.0,17,540288.0,TaNbW2_L2_1_FullHeusler_Cu2MnAl__540288
18,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430_CONV.POSCAR,Ta2NbW,-0.05,/materials/entry/530430,4,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,18.0,21.0,18,530430.0,Ta2NbW_L2_1_FullHeusler_Cu2MnAl__530430
19,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015_CONV.POSCAR,TaNb2W,-0.012,/materials/entry/487015,4,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,19.0,22.0,19,487015.0,TaNb2W_L2_1_FullHeusler_Cu2MnAl__487015
20,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403_CONV.POSCAR,Ta2MoW,-0.145,/materials/entry/532403,4,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,20.0,25.0,20,532403.0,Ta2MoW_L2_1_FullHeusler_Cu2MnAl__532403
21,TaMo2W_1018282_CONV.POSCAR,TaMo2W,-0.139,/materials/entry/1018282,4,TaMo2W_1018282_PRIMITIVE.POSCAR,,,Pnma,21.0,26.0,21,1018282.0,TaMo2W_1018282
22,TaMo2W_1013912_CONV.POSCAR,TaMo2W,-0.138,/materials/entry/1013912,4,TaMo2W_1013912_PRIMITIVE.POSCAR,,,Pnnm,22.0,27.0,22,1013912.0,TaMo2W_1013912
23,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749_CONV.POSCAR,TaMo2W,-0.13699999999999998,/materials/entry/447749,4,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749_PRIMITIVE.POSCAR,L2_1_FullHeusler_Cu2MnAl,,Fm-3m,23.0,28.0,23,447749.0,TaMo2W_L2_1_FullHeusler_Cu2MnAl__447749
24,TaMo2W_1012840_CONV.POSCAR,TaMo2W,-0.136,/materials/entry/1012840,4,TaMo2W_1012840_PRIMITIVE.POSCAR,,,P4/mmm,24.0,29.0,24,1012840.0,TaMo2W_1012840
25,TaMo2W_1018775_CONV.POSCAR,TaMo2W,-0.135,/materials/entry/1018775,16,TaMo2W_1018775_PRIMITIVE.POSCAR,,,Pnma,25.0,30.0,25,1018775.0,TaMo2W_1018775
26,TaMo2W_1017204_CONV.POSCAR,TaMo2W,-0.135,/materials/entry/1017204,4,TaMo2W_1017204_PRIMITIVE.POSCAR,,,P4/mmm,26.0,31.0,26,1017204.0,TaMo2W_1017204
